Date	Selector	Album	Artist
2015-08-09	@faberfedor	Will The Circle Be Unbroken	The Nitty Gritty Dirt Band
2015-08-16	@mrhig	Luxury	Fantastic Plastic Machine
2015-08-23	@nessiest	Based On A True Story	Fat Freddy's Drop
2015-08-30	Everybody	#sleepyvortex	Various
2015-09-06	@cdrose_writer	Lonelady	Hinterland
2015-09-13	@NeilPBardhan	Granada Doaba	Gnawledge (Canyon Cody and Gnotes)
2015-09-20	@nessiest	Point	Cornelius
2015-09-27	Everybody	#wakeupvortex	Various
2015-10-04	@JimMcCauley	Slade Alive	Slade
2015-10-11	@emmaprice	Funny Times	Misty's Big Adventure
2015-10-18	@kleptones	Live From The Lost Continent	The KLF
2015-10-25	Everybody	#surrealvortex	ormolu
2015-11-01	@DaveW	Stations of the Crass	Crass
2015-11-08	@akx	Le Pop	Katzenjammer
2015-11-15	@jonnydapigg	Love	The Beatles
2015-11-22	@SamSmitter	Christine Perfect	Christine McVie
2015-11-29	Everybody	#espritdescaliervortex	Various
2015-12-06	@rougeforever	Carrie And Lowell	Sufjan Stevens
2015-12-13	@saucer	The Cult of Less	Lispector
2015-12-20	@wojsvenwoj	O Shudder	Dutch Uncles
2015-12-27	Everybody	#festivevortex	:christmas_tree:
2016-01-03	@AndersHanson	Odd Blood	Yeasayer
2016-01-10	@nessiest	Ratchet	Shamir
2016-01-17	@JimMcCauley	Transformer	Lou Reed
2016-01-24	@faberfedor	Spirit Live	Spirit
2016-01-31	Everybody	#BowieVortex	Various
2016-02-07	@holette	Yes, I'm A Witch	Yoko Ono
2016-02-14	@kleptones	Golem	Wand
2016-02-21	@cdrose_writer	Everything Sacred	Yorkston/Thorne/Khan
2016-02-28	Everybody	#cringerapvortex	I'm really very sorry
2016-03-06	@wojsvenwoj	Garden Of Fainting Stars	The Book Of Knots
2016-03-13	@cakehugga	Native To	Is Tropical
2016-03-20	@kleptones	Commercial Album	The Residents
2016-03-27	Everybody	#spring/eastervortex	Various
2016-04-03	@EmmaPrice	The White Room	The KLF
2016-04-10	@akx	Hallucinogen in Dub	Hallucinogen/Ott
2016-04-17	@samsmitter	When The Roses Bloom Again	 Laura Cantrell
2016-04-24	@saucer	Heim Und Garten	Mängelexemplar
2016-05-01	@nessiest	PersonA	Edward Sharp & The Magnetic Zeroes
2016-05-08	@JimMcCauley	Clandestino	Manu Chao
2016-05-15	@RougeForever	Neptune	Eliza Carthy
2016-05-22	@mrhig	I Am A Bird Now	Antony & The Johnsons
2016-05-29	@CakeHugga	Stainless Style	Neon Neon
2016-06-05	@Holette	Under The Sun	Mark Pritchard
2016-06-12	@wojsvenwoj	A Trip To The Coast	Bill Pritchard
2016-06-19	@faberfedor	n/a	Lost Romance/The Karma Killers
2016-06-26	@akx	Floating World	Anathallo
2016-07-03	@JonnyDaPigg	OSC-DIS	The Mad Capsule Markets
2016-07-10	@mrhig	Divers	Joanna Newsom
2016-07-17	@holette	The Soft Bounce	Beyond The Wizard's Sleeve
2016-07-24	@kleptones	Taming The Dragon	Brad Mehldau & Mark Guiliana
2016-07-31	Everybody	#endofdaysvortex	Various
2016-08-07	@saucer	13 Most Beautiful: Songs for Andy Warhol's Screen Tests	Dean and Britta
2016-08-14	@emmaprice	Wildflower	The Avalanches
2016-08-21	@CakeHugga	Episodic	Field Mouse
2016-08-28	@andershanson	Sun Structures	Temples
2016-09-04	@JimMcCauley	Shaken And Stirred - The David Arnold Bond Project	Various
2016-09-11	@SamSmitter	Planet Earth	Prince
